team,player,primary_position,total_minutes,age_decimal
Atlanta United,Noah Cobb,CB,1307,19.16700889801506
Atlanta United,Efrain Morales,CB,244,20.54483230663929
Atlanta United,Matthew Edwards,CB,2,21.588637919233403
Atlanta United,Ronald Hernández,CB,245,26.996577686516083
Atlanta United,Luis Abram,CB,1016,28.56125941136208
Atlanta United,Stian Rode Gregersen,CB,934,29.34223134839151
Atlanta United,Derrick Williams,CB,1486,31.673511293634498
Atlanta United,Ajani Fortune,CM,372,21.722792607802873
Atlanta United,Tristan Muyumba,CM,881,27.536618754277892
Atlanta United,Dax McCarty,CM,532,37.388774811772755
Atlanta United,Bartosz Slisz,DM,861,25.476386036960985
Atlanta United,Josh Cohen,GK,209,32.08966461327858
Atlanta United,Brad Guzan,GK,2039,40.02943189596167
Atlanta United,Brooks Lennon,OB,1619,26.993839835728952
Atlanta United,Daniel Armando Ríos,S,942,30.372347707049965
Atlanta United,Jamal Thiaré,S,584,31.470910335386723
Atlanta United,Luke Brennan,W,92,19.569472963723477
Atlanta United,Tyler Wolff,W,234,21.59958932238193
Atlanta United,Edwin Mosquera,W,220,23.229979466119097
Atlanta United,Nicolas Firmino,W,75,23.637919233401778
Atlanta United,Xande Silva,W,811,27.511978097193705
Atlanta United,Saba Lobzhanidze,W,1241,29.75564681724846
Austin FC,Sebastián Driussi,AM,1133,28.61054072553046
Austin FC,Brendan Hines-Ike,CB,1741,29.804928131416837
Austin FC,Julio Cascante,CB,1314,30.96372348
Austin FC,Matt Hedges,CB,647,34.46817248459959
Austin FC,Jhojan Valencia,DM,855,28.147843942505133
Austin FC,Daniel Pereira,DM,863,30.372347707049965
Austin FC,Alexander Ring,DM,1362,33.446269678302535
Austin FC,Brad Stuver,GK,2250,33.427104722792606
Austin FC,Guilherme Biro,OB,1477,24.386036960985628
Austin FC,Jon Gallagher,OB,1608,28.57221081451061
Austin FC,Mikkel Desler,OB,34,29.583162217659137
Austin FC,Hector Jiménez,OB,346,35.878850102669404
Austin FC,Diego Rubio,S,1306,31.347707049965777
Austin FC,Gyasi Zardes,S,925,33.04859685147159
Austin FC,Owen Wolff,W,368,19.722792607802873
Austin FC,CJ Fodrey,W,68,20.607802874743328
Austin FC,Osman Bukari,W,57,25.76933607118412
Austin FC,Ethan Finlay,W,454,34.12251882272416
CF Montréal,Jules-Anthony Vilsaint,AM,445,21.70362765229295
CF Montréal,Kwadwo Opoku,AM,241,23.186173853524984
CF Montréal,Bryce Duke,AM,962,23.55852156057495
CF Montréal,Dominik Yankov,AM,566,24.145106091718002
CF Montréal,Fernando Álvarez,CB,1502,21.073237508555785
CF Montréal,Joaquin Sosa,CB,931,22.692676249144423
CF Montréal,George Campbell,CB,1406,23.243668720054757
CF Montréal,Gabriele CoOBo,CB,1233,24.689938398357288
CF Montréal,Joel Waterman,CB,1582,28.654346338124572
CF Montréal,Alessandro Biello,CM,15,18.451745379876797
CF Montréal,Nathan-Dylan Saliba,CM,760,20.059548254620122
CF Montréal,Rida Zouhir,CM,115,20.824093086926762
CF Montréal,Samuel Piette,CM,1284,29.854209445585216
CF Montréal,Victor Wanyama,CM,345,33.23545516769336
CF Montréal,Jonathan Sirois,GK,2160,23.229979466119097
CF Montréal,Sebastian Breza,GK,90,26.514715947980836
CF Montréal,Ousman jabang,OB,3,23.476386036960985
CF Montréal,Lassi Lappalainen,OB,180,26.073237508555785
CF Montréal,Raheem Edwards,OB,639,29.18069815195072
CF Montréal,Sunusi Ibrahim,S,616,21.969199178644764
CF Montréal,Josef Martínez,S,543,31.33675564681725
Charlotte FC,Nikola Petković,AM,191,21.57221081451061
Charlotte FC,Ben Bender,AM,146,23.536618754277892
Charlotte FC,Adilson Malanda,CB,2070,22.892539356605067
Charlotte FC,Andrew Privett,CB,2232,24.13347022587269
Charlotte FC,Bill Tuiloma,CB,198,29.48186173853525
Charlotte FC,Brandt Bronico,CM,525,29.249144421629023
Charlotte FC,Djibril Diani,DM,800,26.605065023956193
Charlotte FC,Ashley Westwood,DM,1170,34.46817248459959
Charlotte FC,Júnior Urso,DM,235,35.5284052
Charlotte FC,Kristijan Kahlina,GK,2250,32.15605749486653
Charlotte FC,João Pedro,OB,459,21.517453798767967
Charlotte FC,Jaylin Lindsey,OB,270,24.48186173853525
Charlotte FC,Jere Uronen,OB,1760,30.186173853524984
Charlotte FC,Nathan Byrne,OB,1980,32.290212183436005
Charlotte FC,Patrick Agyemang,S,1490,23.867898699520875
Charlotte FC,Karol Świderski,S,64,27.657084188911703
Charlotte FC,Nimfasha Berchimas,W,15,16.57494866529774
Charlotte FC,KeWin Vargas,W,1094,22.71457905544148
Charlotte FC,Liel Abada,W,1091,22.96372348
Charlotte FC,Nick Scardina,W,1,23.243668720054757
Charlotte FC,Iuri Tavares,W,556,23.53388090349076
Charlotte FC,Tyger Smalls,W,158,
Chicago Fire,Mauricio Pineda,CB,951,26.92539356605065
Chicago Fire,Wyatt Omsberg,CB,363,28.996577686516083
Chicago Fire,Tobias Salquist,CB,449,29.33949349760438
